artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of,track_id,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,loudness,liveness,valence,track_genre
Lil Nas X,THATS WHAT I WANT,True,https://www.whosampled.com/Lil-Nas-X/THATS-WHAT-I-WANT/,2021,1,0,2,0,2,0,0e8nrvls4Qqv5Rfa2UhqmO,87,143901,0.737,0.846,0.22,0.00614,0.0,-4.51,0.0486,0.546,hip-hop
Farruko,Pepas,True,https://www.whosampled.com/Farruko/Pepas/,2021,3,0,4,0,5,0,5fwSHlTEWpluwOM0Sxnh5k,86,287120,0.762,0.766,0.0343,0.00776,6.98e-05,-3.955,0.128,0.442,latin
Billie Eilish,Happier Than Ever,True,https://www.whosampled.com/Billie-Eilish/Happier-Than-Ever/,2021,3,0,13,0,0,0,1SWliBgqzayYYnvmxwbouX,0,298899,0.314,0.238,0.0389,0.741,0.00193,-8.802,0.128,0.303,pop
NEIKED;Mae Muller;Polo G,Better Days,True,https://www.whosampled.com/NEIKED/Better-Days/,2021,0,0,1,0,2,0,0De40jMXJCkHG8IbCCnTsn,0,160656,0.717,0.671,0.0337,0.0018,2.54e-06,-5.077,0.0921,0.699,house
Jordan Davis;Luke Bryan,Buy Dirt,True,https://www.whosampled.com/Jordan-Davis/Buy-Dirt/,2021,0,0,1,0,0,0,47etYUs12o0yYHd2bQ7Hel,0,167480,0.586,0.559,0.05,0.639,0.0,-6.725,0.0872,0.437,country
Justin Bieber,Ghost,True,https://www.whosampled.com/Justin-Bieber/Ghost/,2021,1,0,10,0,0,0,6I3mqTwhRpn34SLVafSH7G,88,153190,0.601,0.741,0.0478,0.185,2.91e-05,-5.569,0.415,0.441,pop
Tai Verdes,A-O-K,True,https://www.whosampled.com/Tai-Verdes/A-O-K/,2021,0,0,0,0,2,0,1sx0XsWUusUoPstbvokZjP,77,173640,0.731,0.626,0.0805,0.125,0.0,-6.919,0.183,0.862,indie-pop
Drake;Travis Scott,Fair Trade (with Travis Scott),True,https://www.whosampled.com/Drake/Fair-Trade/,2021,2,0,1,0,0,0,40iJIUlhi6renaREYGeIDS,83,291175,0.666,0.465,0.26,0.0503,0.0,-8.545,0.215,0.292,hip-hop
Kenny Chesney,Knowing You,True,https://www.whosampled.com/Kenny-Chesney/Knowing-You/,2020,0,0,1,0,0,0,1ERoFNNh3shILiAOFWjlgg,0,226266,0.568,0.562,0.0258,0.23,3.41e-06,-6.12,0.119,0.178,country
Kane Brown;blackbear,Memory,True,https://www.whosampled.com/Kane-Brown/Memory/,2021,0,0,2,0,0,0,34chhNX59Wo9HMFCsI3K8Y,72,153337,0.434,0.889,0.0509,0.395,0.0,-5.684,0.273,0.845,country
