artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of
All Time Low;Demi Lovato;blackbear,Monsters (feat. Demi Lovato and blackbear),True,https://www.whosampled.com/All-Time-Low/Monsters/,2020,0,0,2,0,2,0
DMX,Ruff Ryders' Anthem,True,https://www.whosampled.com/DMX/Ruff-Ryders%27-Anthem/,1998,17,0,2,0,1,0
DMX,X Gon' Give It To Ya,True,https://www.whosampled.com/DMX/X-Gon%27-Give-It-To-Ya/,2002,44,0,2,0,0,0
Taylor Swift,You Belong With Me (Taylor’s Version),True,https://www.whosampled.com/Taylor-Swift/You-Belong/,,0,0,0,0,0,0
Demi Lovato,Dancing With The Devil,True,https://www.whosampled.com/Demi-Lovato/Dancing/,,0,0,0,0,0,0
Lil Baby;EST Gee,Real As It Gets,True,https://www.whosampled.com/Lil-Baby/Real-As-It-Gets/,2021,0,0,1,0,0,0
Ritt Momney,Put Your Records On,True,https://www.whosampled.com/Ritt-Momney/Put-Your-Records-On/,2020,0,0,1,1,0,0
BTS,Film out,True,https://www.whosampled.com/BTS/Film-out/,2021,0,0,3,0,0,0
BTS,Dynamite,True,https://www.whosampled.com/BTS/Dynamite/,2020,7,0,19,0,4,0
Niko Moon,GOOD TIME,False,,,,,,,,
Justin Bieber;The Kid LAROI,Unstable,True,https://www.whosampled.com/Justin-Bieber/Unstable/,2021,0,0,1,0,0,0
Justin Bieber;Burna Boy,Loved By You,True,https://www.whosampled.com/Justin-Bieber/Loved-By-You/,2021,0,0,0,0,0,0
ROSÉ,On The Ground,True,https://www.whosampled.com/ROSÉ/On-The-Ground/,2021,0,0,5,0,0,0
Selena Gomez;Rauw Alejandro,Baila Conmigo,True,https://www.whosampled.com/Selena-Gomez/Baila-Conmigo/,2021,0,0,1,0,0,0
Jack Harlow,Tyler Herro,True,https://www.whosampled.com/Jack-Harlow/Tyler-Herro/,2020,2,0,1,0,0,0
Gabby Barrett;Charlie Puth,I Hope,True,https://www.whosampled.com/Gabby-Barrett/I-Hope/,2019,1,0,1,0,1,0
KAROL G,BICHOTA,True,https://www.whosampled.com/KAROL-G/BICHOTA/,2020,0,0,3,0,0,0
Clinton Kane,CHICKEN TENDIES,True,https://www.whosampled.com/Clinton-Kane/CHICKEN-TENDIES/,,0,0,0,0,0,0
Shawn Mendes;Justin Bieber,Monster,True,https://www.whosampled.com/Shawn-Mendes/Monster/,2020,0,0,5,0,0,0
Kenny Chesney,Happy Does,True,https://www.whosampled.com/Kenny-Chesney/Happy-Does/,,0,0,0,0,0,0
Ava Max,Kings & Queens,True,https://www.whosampled.com/Ava-Max/Kings/,,0,0,0,0,0,0
DaBaby;Roddy Ricch,ROCKSTAR,True,https://www.whosampled.com/DaBaby/ROCKSTAR/,2020,6,0,4,0,1,0
Sam Smith,Diamonds,True,https://www.whosampled.com/Sam-Smith/Diamonds/,2020,2,0,2,0,1,0
Jawsh 685;Jason Derulo;BTS,Savage Love (Laxed – Siren Beat) [BTS Remix],True,https://www.whosampled.com/Jawsh-685/Savage-Love/,,0,0,0,0,0,0
Jason Derulo,Take You Dancing,True,https://www.whosampled.com/Jason-Derulo/Take-You-Dancing/,2020,0,0,3,0,5,0
Dan + Shay,I Should Probably Go To Bed,False,,,,,,,,
Maluma,Hawái,True,https://www.whosampled.com/Maluma/Hawái/,2020,0,0,2,0,1,0
Blake Shelton;Gwen Stefani,Happy Anywhere,True,https://www.whosampled.com/Blake-Shelton/Happy-Anywhere/,,0,0,0,0,0,0
Harry Styles,Watermelon Sugar,True,https://www.whosampled.com/Harry-Styles/Watermelon-Sugar/,2019,5,0,16,0,0,0
Jack Harlow;Big Sean,Way Out,True,https://www.whosampled.com/Jack-Harlow/Way-Out/,2020,0,0,0,0,0,0
Jameson Rodgers,Some Girls,False,,,,,,,,
Brenda Lee,Rockin' Around The Christmas Tree,True,https://www.whosampled.com/Brenda-Lee/Rockin%27-Around-The-Christmas-Tree/,1958,5,0,111,0,0,0
Chuck Berry,Run Rudolph Run,True,https://www.whosampled.com/Chuck-Berry/Run-Rudolph-Run/,1958,0,0,139,0,0,0
Dean Martin,"Let It Snow, Let It Snow, Let It Snow",True,https://www.whosampled.com/Dean-Martin/Let-It-Snow-Let-It-Snow-Let-It-Snow/,,0,0,0,0,0,0
Nat King Cole,The Christmas Song (Merry Christmas To You),True,https://www.whosampled.com/Nat-King-Cole/The-Christmas-Song/,1946,20,0,427,0,0,0
Dan + Shay,Take Me Home for Christmas,False,,,,,,,,
Wham!,Last Christmas,True,https://www.whosampled.com/Wham/Last-Christmas/,,0,0,0,0,0,0
Michael Bublé,It's Beginning to Look a Lot Like Christmas,True,https://www.whosampled.com/Michael-Bublé/It%27s-Beginning-to-Look-a-Lot-Like-Christmas/,2011,1,0,0,1,0,0
Paul McCartney,Wonderful Christmastime,True,https://www.whosampled.com/Paul-McCartney/Wonderful-Christmastime/,1979,13,0,76,0,0,0
Elvis Presley,Blue Christmas,True,https://www.whosampled.com/Elvis-Presley/Blue-Christmas/,1957,3,0,75,1,0,0
Pink Sweat$;Donny Hathaway,This Christmas,False,,,,,,,,
Nat King Cole,Deck The Halls,True,https://www.whosampled.com/Nat-King-Cole/Deck-The-Halls/,1960,2,0,0,1,0,0
The Beach Boys,Little Saint Nick,True,https://www.whosampled.com/The-Beach-Boys/Little-Saint-Nick/,1963,0,0,49,0,0,0
Carrie Underwood;John Legend,Hallelujah,True,https://www.whosampled.com/Carrie-Underwood/Hallelujah/,2020,0,0,2,0,0,0
Justin Bieber,Rockin' Around The Christmas Tree,True,https://www.whosampled.com/Justin-Bieber/Rockin%27-Around-The-Christmas-Tree/,2020,0,0,0,1,0,0
Carrie Underwood,Favorite Time Of Year,True,https://www.whosampled.com/Carrie-Underwood/Favorite-Time-Of-Year/,,0,0,0,0,0,0
Gabby Barrett,The First Noel,True,https://www.whosampled.com/Gabby-Barrett/The-First-Noel/,2025,0,0,0,1,0,0
BTS,Life Goes On,True,https://www.whosampled.com/BTS/Life-Goes-On/,2020,1,0,9,0,0,0
Conan Gray,Heather,True,https://www.whosampled.com/Conan-Gray/Heather/,2020,0,0,8,0,0,0
Bad Bunny,TE MUDASTE,True,https://www.whosampled.com/Bad-Bunny/TE-MUDASTE/,,0,0,0,0,0,0
ラックライフ,Lily,False,,,,,,,,
Moneybagg Yo,Said Sum,True,https://www.whosampled.com/Moneybagg-Yo/Said-Sum/,2020,2,0,0,0,1,0
BTS,Blue & Grey,True,https://www.whosampled.com/BTS/Blue/,,0,0,0,0,0,0
BTS,Stay,True,https://www.whosampled.com/BTS/Stay/,,0,0,0,0,0,0
BTS,Fly To My Room,True,https://www.whosampled.com/BTS/Fly-To-My-Room/,,0,0,0,0,0,0
BTS,Telepathy,True,https://www.whosampled.com/BTS/Telepathy/,,0,0,0,0,0,0
BTS,Dis-ease,True,https://www.whosampled.com/BTS/Dis-ease/,,0,0,0,0,0,0
Travis Scott;Young Thug;M.I.A.,FRANCHISE (feat. Young Thug & M.I.A.),True,https://www.whosampled.com/Travis-Scott/FRANCHISE/,2020,2,0,4,0,1,0
SAINt JHN,Roses,True,https://www.whosampled.com/SAINt-JHN/Roses/,2016,4,0,2,0,2,0
Ariana Grande;Doja Cat,motive (with Doja Cat),True,https://www.whosampled.com/Ariana-Grande/motive/,2020,0,0,1,0,0,0
